"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: abril 2016"
"Proceso de Liquidacion: Re-Liquidacion Final (L3)"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 08/abr/2019 11:25:47 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","01/04/2016","1","696.165","0.001","0.646","4205.702","16522.665","208.872","647.594","3218.532","783.994","4769.382","1281.071"
"SEN","01/04/2016","2","554.566","0.001","0.635","4199.432","16286.51","200.996","648.479","2533.525","783.562","4463.903","1293.77"
"SEN","01/04/2016","3","579.306","0","0.677","4203.015","16272.405","196.383","649.143","2221.381","782.778","3941.745","1289.297"
"SEN","01/04/2016","4","570.43","0","0.66","4179.855","16035.814","191.238","649.866","1768.005","781.435","4171.514","1304.354"
"SEN","01/04/2016","5","676.338","0","0.686","4184.938","16286.032","195.801","650.723","1259.277","780.169","4252.391","1330.936"
"SEN","01/04/2016","6","686.076","0","0.66","4184.863","16416.868","200.644","651.568","1303.189","779.872","4257.652","1332.799"
"SEN","01/04/2016","7","615.941","0.079","0.767","4182.85","16287.686","203.839","651.559","1591.364","779.425","4396.862","1347.463"
"SEN","01/04/2016","8","663.949","11.199","0.738","4188.005","16269.016","217.922","654.757","2216.099","779.51","4658.396","1317.878"
"SEN","01/04/2016","9","989.145","38.096","0.84","4188.342","16285.661","230.123","672.669","3379.661","779.11","4969.219","1313.3"
"SEN","01/04/2016","10","965.858","57.129","0.733","4179.738","16523.218","233.387","670.792","4633.19","779.215","5025.624","1385.217"
"SEN","01/04/2016","11","1032.809","69.774","0.426","4164.063","16819.748","243.265","666.657","5134.419","778.483","4994.149","1422.957"
"SEN","01/04/2016","12","1150.409","77.734","0.413","4160.364","17082.685","242.57","667.293","5377.45","777.693","5047.694","1361.955"
"SEN","01/04/2016","13","1399.872","80.117","0.715","4173.085","17048.592","233.44","667.72","5560.695","776.532","5050.425","1310.49"
"SEN","01/04/2016","14","1474.132","79.536","0.857","4172.542","16968.499","223.242","665.603","5735.026","776.036","5049.942","1312.82"
"SEN","01/04/2016","15","1557.914","75.618","0.838","4176.674","16883.637","230.812","664.346","5627.067","773.933","5035.758","1336.267"
"SEN","01/04/2016","16","1544.549","68.697","0.672","4160.353","16964.728","231.263","664.062","5365.169","771.084","5095.928","1349.182"
"SEN","01/04/2016","17","1404.51","54.221","0.693","4203.73","16200.505","230.256","663.729","5854.916","770.056","5159.258","1339.429"
"SEN","01/04/2016","18","1221.555","29.454","0.649","4191.695","15899.091","229.912","664.611","5796.724","769.896","5129.82","1354.626"
"SEN","01/04/2016","19","923.492","5.959","0.747","4195.956","16214.108","240.199","664.809","4987.872","769.785","5188.92","1327.998"
