fecha,emisiones_carbon,emisiones_combustoleo,emisiones_diesel,emisiones_gas_natural
2018-01-01,2405.3,1128.7,45.7,2106.2
2018-02-01,2301.0,1264.7,84.4,2088.5
2018-03-01,3074.8,1487.7,70.5,2279.6
2018-04-01,2852.9,1922.2,117.4,2382.0
2018-05-01,3092.2,2014.5,164.7,2581.1
2018-06-01,3121.6,2183.5,223.7,2688.9
2018-07-01,2994.1,1813.5,192.9,3224.7
2018-08-01,3358.2,2149.0,226.9,3116.8
2018-09-01,2771.2,1616.9,293.6,3054.3
2018-10-01,2718.1,1083.8,208.7,2683.8
2018-11-01,2390.8,900.8,143.8,2333.3
2018-12-01,1810.0,869.3,102.3,2126.9
2019-01-01,1906.5,787.2,98.0,2300.3
2019-02-01,2406.9,1404.2,145.5,2339.4
2019-03-01,2365.1,1595.5,130.8,2340.6
2019-04-01,1934.2,1594.2,200.6,2458.0
2019-05-01,2044.3,1874.7,259.0,3000.6
2019-06-01,2104.5,1872.1,271.7,3072.6
2019-07-01,2666.0,1583.6,318.2,3151.7
2019-08-01,2934.0,1791.4,285.6,3435.2
2019-09-01,2548.0,1396.1,218.3,3078.3
2019-10-01,1757.7,937.0,177.4,2934.7
2019-11-01,1363.2,920.6,122.9,2174.2
2019-12-01,1396.6,714.5,63.3,2965.2
2020-01-01,1468.1,783.9,48.7,2182.6
2020-02-01,1487.5,699.0,70.9,2116.7
2020-03-01,1549.2,871.9,105.9,2274.1
2020-04-01,1262.3,600.2,38.0,1898.7
2020-05-01,1263.6,518.3,50.2,2038.4
2020-06-01,1308.9,512.4,60.8,2366.3
2020-07-01,1290.4,712.9,99.6,2552.3
2020-08-01,897.8,735.2,109.6,2945.2
2020-09-01,962.5,746.8,128.8,2548.4
2020-10-01,1080.9,765.9,118.8,2296.2
2020-11-01,1209.7,779.1,113.9,1714.1
2020-12-01,1066.1,751.0,82.0,1598.6
2021-01-01,917.1,1019.1,57.0,1794.5
2021-02-01,731.4,1560.1,103.0,1721.6
2021-03-01,591.7,1119.8,61.6,1891.5
2021-04-01,464.9,894.5,90.9,2265.5
2021-05-01,509.6,1114.1,123.9,2567.1
2021-06-01,653.2,1265.1,158.2,2976.6
2021-07-01,465.1,1126.2,233.7,2623.7
2021-08-01,456.1,916.7,193.6,2747.3
2021-09-01,377.8,763.2,142.5,2417.5
2021-10-01,757.6,488.3,187.4,2384.5
2021-11-01,603.2,597.7,93.0,1798.9
2021-12-01,468.5,683.9,87.6,2025.2
2022-01-01,735.5,750.1,85.4,2158.1
2022-02-01,936.5,753.1,98.5,2021.5
2022-03-01,953.8,821.1,114.0,2291.2
2022-04-01,1051.2,891.5,130.6,2654.6
2022-05-01,1038.3,1250.7,180.8,3010.4
2022-06-01,1045.9,1051.8,238.9,2908.6
2022-07-01,1197.5,1076.8,358.0,3020.4
2022-08-01,1175.8,899.7,329.2,2935.1
2022-09-01,654.2,987.2,255.9,2535.3
2022-10-01,710.0,932.4,187.6,2260.8
2022-11-01,556.7,708.3,149.6,2050.0
2022-12-01,486.0,798.2,138.3,2213.1
2023-01-01,783.0,740.9,90.6,2689.7
2023-02-01,737.3,746.2,86.0,2383.8
2023-03-01,1124.3,1091.4,128.3,2995.8
2023-04-01,1057.6,1035.2,150.2,3157.1
2023-05-01,996.6,1039.6,200.2,3622.9
2023-06-01,1242.7,1284.8,328.4,3975.8
2023-07-01,1155.1,1193.6,410.5,4402.9
2023-08-01,1383.3,987.8,437.2,4297.3
2023-09-01,1281.9,1088.8,359.0,4012.7
2023-10-01,1334.7,989.8,264.9,3596.0
2023-11-01,967.6,715.1,161.9,2595.1
2023-12-01,992.9,592.0,139.2,2267.7
2024-01-01,1373.8,564.9,142.8,2818.3
2024-02-01,1025.5,590.9,127.3,2698.1
2024-03-01,979.8,797.0,170.6,2992.8
2024-04-01,1206.7,767.8,210.9,3263.0
2024-05-01,1687.7,1203.5,336.2,4117.4
2024-06-01,1476.2,1188.9,366.1,4364.8
2024-07-01,1596.0,876.5,366.9,4399.9
2024-08-01,1649.1,932.9,397.0,4217.6
2024-09-01,1045.4,740.9,279.4,3764.1
2024-10-01,1024.8,563.3,183.5,3509.7
2024-11-01,943.2,636.8,93.4,2473.6
2024-12-01,867.9,557.2,83.4,2523.1
2025-01-01,1047.5,457.9,99.7,2853.2
2025-02-01,803.5,647.0,136.1,2847.0
2025-03-01,1075.5,775.5,94.6,3222.5
2025-04-01,1028.0,693.0,168.6,3289.1
2025-05-01,1013.1,1268.5,264.2,3965.0
2025-06-01,870.1,1176.7,195.0,4044.3
2025-07-01,892.9,772.0,234.4,3798.9
2025-08-01,997.8,1087.5,270.1,4395.1
2025-09-01,668.0,868.0,193.0,3799.4
2025-10-01,706.6,790.2,145.1,3378.0
2025-11-01,544.7,529.6,133.8,2626.2
2025-12-01,775.9,652.2,103.7,2655.0
